Laptop Name;Old Price;Discount Percentages;Current Prices;Rating;Number of Ratings;Link;Unit Available;Offer Type;Seller Name and Score;Door Delivery Info;Pickup Station Info;Return Policy Info
Acer ASPIRE 3 Laptop Intel Core I7- 1165G7 - 12GB RAM 1TB HDD +256GB SSD - 15.6 Inch FHD  NVIDIA MX 350 2GB  Silver;EGP 40,000.00;0.42;EGP 23,223.00;2 out of 5;(1 verified rating);https://www.jumia.com.eg/hp-hp-probookx360435g8amdryzen5-5600u8gb256gbssdamdradeongraphics13.3fhdconvertibletouchwin10-28605790.html;3 units left;Offer Type: Back to school offers;Seller Name: Winner- Brands, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
DELL Inspiron 5406 2-In-1 Laptop - Intel Core I3 - 8GB RAM - 256GB SSD - 14.0-inch HD - Intel GPU - Windows 10 - Platinum silver;EGP 49,599.00;0.44;EGP 27,999.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-probook-450-g9-core-i5-1235u-15.6-hd-8gb-512gb-ssd-mx570-2gb-dos-silver-aluminum-31300144.html;4 units left;Offer type: information not available;Seller Name: Delta Systems, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Acer ASPIRE 3 Laptop – Intel Core I5 – 1135G7 – 8GB RAM - 256 SSD – 15.6 Inch FHD – NVIDIA MX 350 2GB - Silver;EGP 40,000.00;0.2;EGP 32,000.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/huawei-matebook-b3-420-laptop-core-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-gpu-14in-fhd-space-gray-dos-no-windows-38468148.html;3 units left;Offer type: information not available;Seller Name: New Vision Marketplace, Score: 46%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Acer Aspire 5 A515-57G-70GT Notebook Laptop – Intel Core i7 – 8GB RAM – 512 SSD – Nvidia GeForce RTX 2050 - 15.6 Inch FHD  - Windows 11 – Steel Grey;EGP 40,000.00;0.2;EGP 32,000.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/huawei-matebook-b3-520-laptop-core-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-gpu-15.6in-fhd-space-gray-dos-no-windows-38468120.html;3 units left;Offer type: information not available;Seller Name: New Vision Marketplace, Score: 46%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Asus 15 X515FA-BQ8G3W Intel® Core™ I3-10110U – 8GB –1TB HDD –Intel® UHD Graphics –15.6 FHD – WIN 11 –Slate Grey;EGP 28,299.00;0.12;EGP 24,788.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-pc-hp-all-in-one-200-g4-core-i5-10210-1.6-ghz-6mb-intel-uhd-graphics-4gb-1tb-kb-mouse-21.5-dos-no-windows-37363709.html;2 units left;Offer type: information not available;Seller Name: Winner- Brands, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"HP 6A3S1EA Victus Gaming 16-D1012ne Laptop - Intel Core I7-12700H - 16GB RAM - 1TB SSD - 16.1 Inch FHD – h - Mica Silver - FreeDOS ""No Windows""";EGP 31,333.00;0.08;EGP 28,710.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-victus-15-fa0031dx-ci5-12450h-8gb-ssd-512gb-nvidia-gtx1650-4gb-15.6-fhd-ips-144hz-win11-silver-30758674.html;1 units left;Offer Type: Back to school offers;Seller Name: Winner- Brands, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Lenovo Ideapad 3 15IML05 laptop - Intel core i3-10110U- 4GB RAM - 1TB HDD- 15.6-inch FHD –DOS ""No Windows"" – Platinum Grey - (English/Arabic Keyboard)";Old price not available;0;EGP 48,000.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/lenovo-thinkpad-e14-g4-core-i7-1255u-8g-ram-512gb-nvme-vga-nvidia-2g-mx550-ddr6-14.0-fhd-inchfinger-print-black-bag-lenovo-dos-no-windows-37364331.html;4 units left;Offer type: information not available;Seller Name: Elite for trade Marketplace, Score: 50%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Huawei MateBook B3-420 Laptop - Core I5-1135G7 - 8GB RAM - 512GB SSD - Iris XE GPU - 14in FHD - Space Gray - DOS ""No Windows""";EGP 180,000.00;0.03;EGP 174,500.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/dell-xps-17-9710-laptop-intel-core-i9-64gb-ram-2tb-ssd-17-inch-uhd-touch-6gb-gpu-windows-11-silver-26794905.html;2 units left;Offer type: information not available;Seller Name: New Vision Marketplace, Score: 46%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Acer ASPIRE 3 Laptop – Intel Core I3 – 1115G4 – 4GB RAM - 1TB HDD - 15.6 Inch FHD - Silver;Old price not available;0;EGP 94,900.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/apple-macbook-pro-14-m1pro-8c-cpu-14c-gpu16gb512gbspace-grayar-27556633.html;2 units left;Offer type: information not available;Seller Name: Techmart Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Acer Aspire 7 A715-43G-R3A6 Notebook Laptop – AMD Ryzen™ 5 5625U - 16GB RAM – 512 SSD – NVIDIA® GeForce® RTX™ 3050 – 15.6 Inch FHD – Windows 11 – Charcoal Black;Old price not available;0;EGP 48,100.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/lenovo-ideapad-gaming-3-core-i7-12650h-16g-ram-512nvme-vga-nvidia-4g-rtx-3050ti-15.6-fhd-165hz-grey-dos-no-windows-37862104.html;4 units left;Offer type: information not available;Seller Name: Elite for trade Marketplace, Score: 50%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
