Theme;Lines;URLs;Image;Author;Author job
FORGIVENESS;Without forgiveness, there is no future.;https://www.passiton.com/inspirational-quotes/4448-without-forgiveness-there-is-no-future;https://assets.passiton.com/quotes/quote_artwork/4448/medium/20231006_friday_quote.jpg;Archbishop Desmond Tutu;Nobel Peace Prize Winner
FORGIVENESS;To forgive is to set a prisoner free and discover that the prisoner was you.;https://www.passiton.com/inspirational-quotes/4080-to-forgive-is-to-set-a-prisoner-free-and;https://assets.passiton.com/quotes/quote_artwork/4080/medium/20231005_thursday_quote.jpg;Lewis B. Smedes;author, ethicist, theologian
FORGIVENESS;A happy marriage is the union of two good forgivers.;https://www.passiton.com/inspirational-quotes/8394-a-happy-marriage-is-the-union-of-two-good;https://assets.passiton.com/quotes/quote_artwork/8394/medium/20231004_wednesday_quote.jpg;Robert Quillen;American journalist and humorist
FORGIVENESS;Forgiveness does not change the past, but it does enlarge the future.;https://www.passiton.com/inspirational-quotes/3128-forgiveness-does-not-change-the-past-but-it;https://assets.passiton.com/quotes/quote_artwork/3128/medium/20231003_tuesday_quote.jpg;Paul Boese;
FORGIVENESS;Mistakes are always forgivable, if one has the courage to admit them.;https://www.passiton.com/inspirational-quotes/8365-mistakes-are-always-forgivable-if-one-has-the;https://assets.passiton.com/quotes/quote_artwork/8365/medium/20231002_monday_quote.jpg;Bruce Lee;Martial Artist, Philosopher
CARING;I cannot do all the good that the world needs. But the world needs all the good that I can do.;https://www.passiton.com/inspirational-quotes/8393-i-cannot-do-all-the-good-that-the-world-needs;https://assets.passiton.com/quotes/quote_artwork/8393/medium/20230929_friday_quote.jpg;Jana Stanfiled;Professional speaker, songwriter
CARING;Caring about the happiness of others, we find our own.;https://www.passiton.com/inspirational-quotes/7557-caring-about-the-happiness-of-others-we-find;https://assets.passiton.com/quotes/quote_artwork/7557/medium/20230928_thursday_quote.jpg;Plato;classical Greek philosopher, mathematician
CARING;Without a sense of caring, there can be no sense of community.;https://www.passiton.com/inspirational-quotes/3278-without-a-sense-of-caring-there-can-be-no;https://assets.passiton.com/quotes/quote_artwork/3278/medium/20230927_wednesday_quote.jpg;Anthony J. D'Angelo;Founder of The Collegiate EmPowerment Company
CARING;Unless someone like you cares a whole awful lot, nothing is going to get better. It's not.;https://www.passiton.com/inspirational-quotes/3505-unless-someone-like-you-cares-a-whole-awful;https://assets.passiton.com/quotes/quote_artwork/3505/medium/20230926_tuesday_quote.jpg;Theodor Seuss Geisel;Writer, Cartoonist, Animator
CARING;The capacity to care is the thing which gives life its deepest significance.;https://www.passiton.com/inspirational-quotes/3203-the-capacity-to-care-is-the-thing-which-gives;https://assets.passiton.com/quotes/quote_artwork/3203/medium/20230925_monday_quote.jpg;Pablo Casals;cellist, conductor
CURIOSITY;Above all, watch with glittering eyes the whole world around you, because the greatest secrets are always hidden in the most unlikely places.;https://www.passiton.com/inspirational-quotes/6799-above-all-watch-with-glittering-eyes-the-whole;https://assets.passiton.com/quotes/quote_artwork/6799/medium/20230922_friday_quote.jpg;Roald Dahl;British novelist
CURIOSITY;Be curious, not judgmental. ;https://www.passiton.com/inspirational-quotes/4543-be-curious-not-judgmental;https://assets.passiton.com/quotes/quote_artwork/4543/medium/20230921_thursday_quote.jpg;Walt Whitman;poet, humanist
CURIOSITY;Curiosity is more important than knowledge.;https://www.passiton.com/inspirational-quotes/8329-curiosity-is-more-important-than-knowledge;https://assets.passiton.com/quotes/quote_artwork/8329/medium/20230920_wednesday_quote.jpg;Albert Einstein;theoretical physicist, philosopher, Nobel Prize winner
CURIOSITY;I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift would be curiosity.;https://www.passiton.com/inspirational-quotes/8328-i-think-at-a-childs-birth-if-a-mother-could;https://assets.passiton.com/quotes/quote_artwork/8328/medium/20230919_tuesday_quote.jpg;Eleanor Roosevelt;U.S. First Lady, diplomat, human rights activist
CURIOSITY;Somewhere, something incredible is waiting to be known.;https://www.passiton.com/inspirational-quotes/4014-somewhere-something-incredible-is-waiting-to;https://assets.passiton.com/quotes/quote_artwork/4014/medium/20230918_monday_quote.jpg;Carl Sagan;astronomer, scientist, writer
CONFIDENCE;Never dull your shine for somebody else.;https://www.passiton.com/inspirational-quotes/8392-never-dull-your-shine-for-somebody-else;https://assets.passiton.com/quotes/quote_artwork/8392/medium/20230915_friday_quote.jpg;Tyra Banks;American television personality, model, producer, writer, and actress.
CONFIDENCE;You have no control over other people's taste, so focus on staying true to your own.;https://www.passiton.com/inspirational-quotes/8391-you-have-no-control-over-other-peoples-taste;https://assets.passiton.com/quotes/quote_artwork/8391/medium/20230914_thursday_quote.jpg;Tim Gunn;American author, academic, and television personality
CONFIDENCE;Stay afraid, but do it anyway. What’s important is the action. You don’t have to wait to be confident. Just do it and eventually the confidence will follow. ;https://www.passiton.com/inspirational-quotes/8307-stay-afraid-but-do-it-anyway-what-s-important;https://assets.passiton.com/quotes/quote_artwork/8307/medium/20230913_wednesday_quote.jpg;Carrie Fisher;actress
CONFIDENCE;It is not the mountain we conquer but ourselves.;https://www.passiton.com/inspirational-quotes/7907-it-is-not-the-mountain-we-conquer-but-ourselves;https://assets.passiton.com/quotes/quote_artwork/7907/medium/20230912_tuesday_quote.jpg;Edmund Hillary;New Zealand mountaineer, explorer, and philanthropist.
CONFIDENCE;Every small positive change we make in ourselves repays us in confidence in the future.;https://www.passiton.com/inspirational-quotes/6990-every-small-positive-change-we-make-in;https://assets.passiton.com/quotes/quote_artwork/6990/medium/20230911_monday_quote.jpg;Alice Walker;Author and activist
PREPARATION;First, I prepare. Then I have faith.;https://www.passiton.com/inspirational-quotes/8181-first-i-prepare-then-i-have-faith;https://assets.passiton.com/quotes/quote_artwork/8181/medium/20230908_friday_quote.jpg;Joe Namath;Former professional American football player
PREPARATION;We cannot always build the future for our youth, but we can build our youth for the future. ;https://www.passiton.com/inspirational-quotes/6108-we-cannot-always-build-the-future-for-our;https://assets.passiton.com/quotes/quote_artwork/6108/medium/20230907_thursday_quote.jpg;Franklin D. Roosevelt;32nd U.S. President
PREPARATION;Don't judge each day by the harvest you reap, but by the seeds that you plant.;https://www.passiton.com/inspirational-quotes/6516-dont-judge-each-day-by-the-harvest-you-reap;https://assets.passiton.com/quotes/quote_artwork/6516/medium/20230906_wednesday_quote.jpg;Robert Louis Stevenson;essayist, poet, novelist
PREPARATION;It’s better to look ahead and prepare, than to look back and regret.;https://www.passiton.com/inspirational-quotes/8390-it-s-better-to-look-ahead-and-prepare-than-to;https://assets.passiton.com/quotes/quote_artwork/8390/medium/20230905_tuesday_quote.jpg;Jackie Joyner-Kersee;American track and field athlete
PREPARATION;Be prepared, work hard, and hope for a little luck. Recognize that the harder you work and the better prepared you are, the more luck you might have.;https://www.passiton.com/inspirational-quotes/8389-be-prepared-work-hard-and-hope-for-a-little;https://assets.passiton.com/quotes/quote_artwork/8389/medium/20230904_monday_quote.jpg;Ed Bradley;American broadcast journalist and news anchor.
DETERMINATION;Never, never, never give up.;https://www.passiton.com/inspirational-quotes/3220-never-never-never-give-up;https://assets.passiton.com/quotes/quote_artwork/3220/medium/20230901_friday_quote.jpg;Sir Winston Churchill;British statesman, prime minister, author, Nobel Prize winner
DETERMINATION;If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.;https://www.passiton.com/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones;https://assets.passiton.com/quotes/quote_artwork/6714/medium/20230831_thursday_quote.jpg;Mary Pickford;actress
DETERMINATION;Obstacles don’t have to stop you. If you run into a wall, don’t turn around and give up. Figure out how to climb it, go through it or work around it.;https://www.passiton.com/inspirational-quotes/7058-obstacles-don-t-have-to-stop-you-if-you-run;https://assets.passiton.com/quotes/quote_artwork/7058/medium/20230830_wednesday_quote.jpg;Michael Jordan;retired professional basketball player, businessman
DETERMINATION;There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.;https://www.passiton.com/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that;https://assets.passiton.com/quotes/quote_artwork/4218/medium/20230829_tuesday_quote.jpg;Ella Wheeler Wilcox;poet
DETERMINATION;"A dream doesn't become reality through magic; it takes sweat, determination and hard work.";https://www.passiton.com/inspirational-quotes/6860-a-dream-doesnt-become-reality-through-magic-it;https://assets.passiton.com/quotes/quote_artwork/6860/medium/20230828_monday_quote.jpg;Colin Powell;65th U.S. Secretary of State
PATIENCE;Have patience with all things, but, first of all with yourself.;https://www.passiton.com/inspirational-quotes/7169-have-patience-with-all-things-but-first-of;https://assets.passiton.com/quotes/quote_artwork/7169/medium/20230825_friday_quote.jpg;Saint Francis de Sales;Roman Catholic saint
PATIENCE;Patience is not simply the ability to wait—it's how we behave while we're waiting. ;https://www.passiton.com/inspirational-quotes/7725-patience-is-not-simply-the-ability-to-wait-its;https://assets.passiton.com/quotes/quote_artwork/7725/medium/20230824_thursday_quote.jpg;Joyce Meyer;A Christian author and speaker and president of Joyce Meyer Ministries
PATIENCE;Patience is a form of wisdom. It demonstrates that we understand and accept the fact that sometimes things must unfold in their own time.;https://www.passiton.com/inspirational-quotes/8076-patience-is-a-form-of-wisdom-it-demonstrates;https://assets.passiton.com/quotes/quote_artwork/8076/medium/20230823_wednesday_quote.jpg;Jon Kabat-Ziin;American professor emeritus of medicine
PATIENCE;Patience and tenacity of purpose are worth more than twice their weight of cleverness.;https://www.passiton.com/inspirational-quotes/3605-patience-and-tenacity-of-purpose-are-worth-more;https://assets.passiton.com/quotes/quote_artwork/3605/medium/20230822_tuesday_quote.jpg;Thomas Henry Huxley;biologist
PATIENCE;Patience is more than simply learning to wait. It is having learned what is worth your time.;https://www.passiton.com/inspirational-quotes/8077-patience-is-more-than-simply-learning-to-wait;https://assets.passiton.com/quotes/quote_artwork/8077/medium/20230821_monday_quote.jpg;J.M. Storm;Poet
FRIENDSHIP;Anything is possible when you have the right people there to support you.;https://www.passiton.com/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right;https://assets.passiton.com/quotes/quote_artwork/8192/medium/20230818_friday_quote.jpg;Misty Copeland;Ballet Dancer
FRIENDSHIP;Many people will walk in and out of your life but only true friends will leave footprints in your heart.;https://www.passiton.com/inspirational-quotes/3991-many-people-will-walk-in-and-out-of-your-life;https://assets.passiton.com/quotes/quote_artwork/3991/medium/20230817_thursday_quote.jpg;Eleanor Roosevelt;U.S. First Lady, diplomat, human rights activist
FRIENDSHIP;I would rather walk with a friend in the dark, than alone in the light.;https://www.passiton.com/inspirational-quotes/8330-i-would-rather-walk-with-a-friend-in-the-dark;https://assets.passiton.com/quotes/quote_artwork/8330/medium/20230816_wednesday_quote.jpg;Helen Keller;author, lecturer, activist
FRIENDSHIP;Try to be a rainbow in someone's cloud.;https://www.passiton.com/inspirational-quotes/8331-try-to-be-a-rainbow-in-someones-cloud;https://assets.passiton.com/quotes/quote_artwork/8331/medium/20230815_tuesday_quote.jpg;Maya Angelou;Poet, dancer, producer, playwright, director, author
FRIENDSHIP;Good friends are like stars. You don't always see them, but you know they're always there.;https://www.passiton.com/inspirational-quotes/8036-good-friends-are-like-stars-you-dont-always;https://assets.passiton.com/quotes/quote_artwork/8036/medium/20230814_monday_quote.jpg;Unknown;
EDUCATION;The whole purpose of education is to turn mirrors into windows.;https://www.passiton.com/inspirational-quotes/6436-the-whole-purpose-of-education-is-to-turn;https://assets.passiton.com/quotes/quote_artwork/6436/medium/20230811_friday_quote.jpg;Sydney Harris;American newspaper columnist
