Job Title;Company Name;Location;Posted Date;Job Type;Job Skills;Link;Salary;Responsibilities
Senior Data Analyst;Sceel.io ;Maadi, Cairo, Egypt ;3 hours ago;Full Time;Full TimeExperienced  5 - 7 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Analysis  Analyst  BI  Communication skills  Computer Science  Data  Data Analysis;https://wuzzuf.net/jobs/p/jfoceU3MA4Hg-Senior-Data-Analyst-Sceel-io-Cairo-Egypt?o=1&l=sp&t=sj&a=data|search-v3|navbl;;
Librarian, Data Management;Weill Cornell Medicine-Qatar ;Doha, Qatar ;24 hours ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Data Management  Microsoft Office  Engineering  Data Analysis  Management;https://wuzzuf.net/jobs/p/irYdVK4ce18Q-Librarian-Data-Management-Weill-Cornell-Medicine-Qatar-Doha-Qatar?o=2&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Clerk;Aman Holding ;New Cairo, Cairo, Egypt ;22 minutes ago;Full Time;Full TimeShift BasedEntry Level  0 - 1 Yrs of Exp  Customer Service/Support  Data Entry  Data  Customer Service  computer  typing skills  Typing;https://wuzzuf.net/jobs/p/1UMEBN6JrUns-Data-Entry-Clerk-Aman-Holding-Cairo-Egypt?o=3&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Clerk;Energya Cables ;10th of Ramadan City, Sharqia, Egypt ;2 hours ago;Shift Based;Full TimeEntry Level  1 - 3 Yrs of Exp  Writing/Editorial  Data Entry  excel  MS Office;https://wuzzuf.net/jobs/p/u2m10NM31aOd-Data-Entry-Clerk-Energya-Cables-Sharqia-Egypt?o=4&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analyst;DBS ;Maadi, Cairo, Egypt ;2 hours ago;Full Time;Full TimeEntry Level  1 - 2 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Science  Analysis  Data Analysis  Information Technology (IT);https://wuzzuf.net/jobs/p/iAPF7EGTjusI-Data-Analyst-DBS-Cairo-Egypt?o=5&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Clerk - Males only;Yousry group ;Obour City, Cairo, Egypt ;2 days ago;Full Time;Full TimeEntry Level  males_only  Education/Teaching  English  excel  Microsoft Office  MS Office  Data Entry  Skills  Typing  typing skills  computer;https://wuzzuf.net/jobs/p/yZnxFmVSZztu-Data-Entry-Clerk---Males-only-Yousry-group-Cairo-Egypt?o=6&l=sp&t=sj&a=data|search-v3|navbl;;
data analysis;Care Services EG ;Abbassia, Cairo, Egypt ;3 days ago;Full Time;Full TimeEntry Level  2 - 4 Yrs of Exp  IT/Software Development  Analyst/Research  Analysis  Data Analysis  Information Technology (IT)  Computer Science;https://wuzzuf.net/jobs/p/Hvr2zEMqwQ0Y-data-analysis-Care-Services-EG-Cairo-Egypt?o=7&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Clerk;Femex Egypt ;Sheraton, Cairo, Egypt ;3 days ago;Full Time;Full TimeEntry Level  1 - 2 Yrs of Exp  Administration  Writing/Editorial  Data Entry  MS Office  Administration  English  Microsoft Office  Typing  Communication  Fast Typing;https://wuzzuf.net/jobs/p/WTcKCwh5S5IY-Data-Entry-Clerk-Femex-Egypt-Cairo-Egypt?o=8&l=sp&t=sj&a=data|search-v3|navbl;;
Data entry;one2twelve  ;Haram, Giza, Egypt ;3 days ago;Full Time;Full TimeEntry Level  0 - 1 Yrs of Exp  Accounting/Finance  Administration  Other  Data Entry  Information Technology (IT)  faculty of commerce  Computer Skills  Typing  Database  PFA;https://wuzzuf.net/jobs/p/yFzNqEctL8q1-Data-entry-one2twelve-Giza-Egypt?o=9&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Data Modeler;eT3 - Tomorrow Information Technology ;New Cairo, Cairo, Egypt ;6 days ago;Full Time;Full TimeExperienced  7 - 10 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Data Modeling  Data Architecture  SQL  Erwin  Data Warehousing  Data Management;https://wuzzuf.net/jobs/p/FPdivTRV2Elc-Senior-Data-Modeler-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=10&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Data Scientist - Hybrid;Seoudi Supermarket ;Sheikh Zayed, Giza, Egypt ;22 hours ago;Full Time;Full TimeExperienced  3 - 7 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Analysis  Computer Science  Data Analysis  Data Science  Machine Learning  SQL  Python;https://wuzzuf.net/jobs/p/fEhxIuT0Zwak-Senior-Data-Scientist---Hybrid-Seoudi-Supermarket-Giza-Egypt?o=11&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analyst;Eep ;Dubai, United Arab Emirates ;24 hours ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data Analysis  Analysis  Computer Science  Information Technology (IT)  SQL  Microsoft Office  Microsoft Excel;https://wuzzuf.net/jobs/p/i1gjgRfpPp86-Data-Analyst-Eep-Dubai-United-Arab-Emirates?o=12&l=sp&t=sj&a=data|search-v3|navbl;;
Data Strategy Consultant;D4DS ;Riyadh, Saudi Arabia ;1 hour ago;Full Time;Full TimeNot specified  IT/Software Development  Strategy/Consulting  Engineering - Telecom/Technology  Computer Science  Information Technology (IT)  Microsoft Office  Engineering  SAP  Telecommunication  Computer Hardware;https://wuzzuf.net/jobs/p/aEOG3ifUZT6J-Data-Strategy-Consultant-D4DS-Riyadh-Saudi-Arabia?o=13&l=sp&t=sj&a=data|search-v3|navbl;;
Product Data Analyst;Sana Commerce ;Dubai, United Arab Emirates ;22 hours ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data Analysis  Analysis  Computer Science  Information Technology (IT)  Microsoft Office  SQL  Business Analysis;https://wuzzuf.net/jobs/p/QqYQHyHMBiwS-Product-Data-Analyst-Sana-Commerce-Dubai-United-Arab-Emirates?o=14&l=sp&t=sj&a=data|search-v3|navbl;;
Data & Analytics Strategy Executive;Dentsu International ;Dubai, United Arab Emirates ;8 days ago;Full Time;Full TimeNot specified  Administration  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Data Entry  Microsoft Office  Administration  Data Analysis  Software Development;https://wuzzuf.net/jobs/p/L8NBujcR2jEa-Data-Analytics-Strategy-Executive-Dentsu-International-Dubai-United-Arab-Emirates?o=15&l=sp&t=sj&a=data|search-v3|navbl;;
Data & Analytics Strategy Executive;Dentsu, Inc. ;Dubai, United Arab Emirates ;22 hours ago;Full Time;Full TimeNot specified  Administration  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Data Entry  Microsoft Office  Administration  Data Analysis  Software Development;https://wuzzuf.net/jobs/p/T2OzE6v2xQPY-Data-Analytics-Strategy-Executive-Dentsu-Inc-Dubai-United-Arab-Emirates?o=16&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Data Engineer- Remote;GetTechForce.com ;Cairo, Egypt ;4 days ago;Full Time;Full TimeWork From HomeManager  7+ Yrs of Exp  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Python  Java  computer  Software Engineering  SQL  Computer Science  Information Technology (IT);https://wuzzuf.net/jobs/p/cfxbeiW3DnlW-Senior-Data-Engineer--Remote-GetTechForce-com-Cairo-Egypt?o=17&l=sp&t=sj&a=data|search-v3|navbl;;
Data Research Assistant;Puffin ;Sheikh Zayed, Giza, Egypt ;4 days ago;Work From Home;Full TimeEntry Level  Administration  Analyst/Research  Research  Internet Research  Data Entry  Computer Skills  Microsoft Office  Microsoft Excel;https://wuzzuf.net/jobs/p/ndgoOl3e42fX-Data-Research-Assistant-Puffin-Giza-Egypt?o=18&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Assistant;Puffin ;Sheikh Zayed, Giza, Egypt ;4 days ago;Full Time;Full TimeEntry Level  Administration  Analyst/Research  Research  Internet Research  Data Entry  Computer Skills  Microsoft Office  Microsoft Excel;https://wuzzuf.net/jobs/p/F3cAtSEl2G8x-Data-Entry-Assistant-Puffin-Giza-Egypt?o=19&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Specialist;IVAS ;Agouza, Giza, Egypt ;7 days ago;Full Time;Full TimeEntry Level  Administration  Writing/Editorial  Marketing/PR/Advertising  computer  Computer Skills  Data Entry  English  excel  Microsoft Office  Research;https://wuzzuf.net/jobs/p/ZxdRacWoPWG6-Data-Entry-Specialist-IVAS-Giza-Egypt?o=20&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analyst;Deriv ;Dubai, United Arab Emirates ;7 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data Analysis  Analysis  Computer Science  Information Technology (IT)  SQL  Microsoft Office  Microsoft Excel;https://wuzzuf.net/jobs/p/lviCDWTDzCUl-Data-Analyst-Deriv-Dubai-United-Arab-Emirates?o=21&l=sp&t=sj&a=data|search-v3|navbl;;
Data Engineer;Dr. Sulaiman Al Habib Medical Group ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Computer Engineering  Engineering  Software Engineering  Software Development  SQL;https://wuzzuf.net/jobs/p/evzJYlyZgFEF-Data-Engineer-Dr-Sulaiman-Al-Habib-Medical-Group-Riyadh-Saudi-Arabia?o=22&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analyst Specialist;Professional Recruitment ;Riyadh, Saudi Arabia ;8 days ago;Full Time;Full TimeNot specified  3+ Yrs of Exp  Administration  IT/Software Development  Analyst/Research  Microsoft Office  Data Entry  Administration  Data Analysis  Analysis  Computer Science  Information Technology (IT);https://wuzzuf.net/jobs/p/vlvn1Y2xj1ec-Data-Analyst-Specialist-Professional-Recruitment-Riyadh-Saudi-Arabia?o=23&l=sp&t=sj&a=data|search-v3|navbl;;
Accountant Data Entry;Confidential ;Downtown, Cairo, Egypt ;9 days ago;Full Time;Full TimeExperienced  3 - 6 Yrs of Exp  Accounting/Finance  Administration  Accounting  Data Entry;https://wuzzuf.net/jobs/p/cy6bBOizSQxJ-Accountant-Data-Entry-Cairo-Egypt?o=24&l=sp&t=sj&a=data|search-v3|navbl;;
Vertica Data Engineer;Dautom ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Engineering  Computer Engineering  SQL  Python  Software Development;https://wuzzuf.net/jobs/p/3KVVNiZ8sIXI-Vertica-Data-Engineer-Dautom-Dubai-United-Arab-Emirates?o=25&l=sp&t=sj&a=data|search-v3|navbl;;
Manager, Data Architecture & Engineering Egypt - Giza - Orange Egypt;Orange Digital Ventures ;Cairo, Egypt ;10 days ago;Full Time;Full TimeNot specified  Engineering - Construction/Civil/Architecture  IT/Software Development  Engineering - Telecom/Technology  Engineering  Information Technology (IT)  Architecture  Computer Science  Project Management  Civil Engineering  Construction;https://wuzzuf.net/jobs/p/OqYPVVV4qq5U-Manager-Data-Architecture-Engineering-Egypt---Giza---Orange-Egypt-Orange-Digital-Ventures-Cairo-Egypt?o=26&l=sp&t=sj&a=data|search-v3|navbl;;
Data Governance Manager;Cognizant Technology Solutions Corporation ;Riyadh, Saudi Arabia ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Microsoft Office  Data Management  Engineering  Management  SQL;https://wuzzuf.net/jobs/p/nySEoi8pmTeJ-Data-Governance-Manager-Cognizant-Technology-Solutions-Corporation-Riyadh-Saudi-Arabia?o=27&l=sp&t=sj&a=data|search-v3|navbl;;
Junior Data Analyst;Cleartrip ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data Analysis  Analysis  Computer Science  Information Technology (IT)  Microsoft Office  SQL  Microsoft Excel;https://wuzzuf.net/jobs/p/LNpzu5JPMcbk-Junior-Data-Analyst-Cleartrip-Dubai-United-Arab-Emirates?o=28&l=sp&t=sj&a=data|search-v3|navbl;;
AFC Data Analyst (Automatic Fare Collection System);SNC-Lavalin ;Riyadh, Saudi Arabia ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data Analysis  Analysis  Computer Science  Information Technology (IT)  Microsoft Office  SQL  Microsoft Excel;https://wuzzuf.net/jobs/p/ApayrxJQ5648-AFC-Data-Analyst-Automatic-Fare-Collection-System-SNC-Lavalin-Riyadh-Saudi-Arabia?o=29&l=sp&t=sj&a=data|search-v3|navbl;;
